date,exercise_minutes
9/21/2020,20
9/22/2020,18
9/23/2020,22
9/24/2020,16
9/25/2020,12
9/26/2020,15
9/27/2020,61
9/28/2020,21
9/29/2020,9
9/30/2020,20
10/1/2020,18
10/2/2020,22
10/3/2020,21
10/4/2020,16
10/5/2020,19
10/6/2020,22
10/7/2020,43
10/8/2020,19
10/9/2020,24
10/10/2020,68
10/11/2020,33
10/12/2020,17
10/13/2020,11
10/14/2020,15
10/15/2020,12
10/16/2020,7
10/17/2020,17
10/18/2020,12
10/19/2020,13
10/20/2020,13
10/21/2020,21
10/22/2020,18
10/23/2020,8
10/24/2020,19
10/25/2020,18
10/26/2020,19
10/27/2020,16
10/28/2020,21
10/29/2020,14
10/30/2020,16
10/31/2020,25
11/1/2020,28
11/2/2020,17
11/3/2020,25
11/4/2020,18
11/5/2020,17
11/6/2020,10
11/7/2020,7
11/8/2020,60
11/9/2020,19
11/10/2020,21
11/11/2020,18
11/12/2020,17
11/13/2020,16
11/14/2020,24
11/15/2020,14
11/16/2020,21
11/17/2020,20
11/18/2020,17
11/19/2020,37
11/20/2020,12
11/21/2020,20
11/22/2020,24
11/23/2020,33
11/24/2020,13
11/25/2020,22
11/26/2020,13
11/27/2020,24
11/28/2020,24
11/29/2020,16
11/30/2020,42
12/1/2020,13
12/2/2020,24
12/3/2020,11
12/4/2020,23
12/5/2020,14
12/6/2020,15
12/7/2020,14
12/8/2020,12
12/9/2020,12
12/10/2020,8
12/11/2020,16
12/12/2020,50
12/13/2020,18
12/14/2020,8
12/15/2020,9
12/16/2020,19
12/17/2020,18
12/18/2020,14
12/19/2020,27
12/20/2020,17
12/21/2020,16
12/22/2020,14
12/23/2020,29
12/24/2020,25
12/25/2020,18
12/26/2020,21
12/27/2020,20
12/28/2020,44
12/29/2020,14
12/30/2020,28
12/31/2020,22
1/1/2021,13
1/2/2021,23
1/3/2021,15
1/4/2021,14
1/5/2021,13
1/6/2021,14
1/7/2021,16
1/8/2021,10
1/9/2021,14
1/10/2021,13
1/11/2021,23
1/12/2021,16
1/13/2021,10
1/14/2021,14
1/15/2021,43
1/16/2021,47
1/17/2021,26
1/18/2021,34
1/19/2021,16
1/20/2021,22
1/21/2021,16
1/22/2021,21
1/23/2021,15
1/24/2021,33
1/25/2021,25
1/26/2021,72
1/27/2021,13
1/28/2021,19
1/29/2021,15
1/30/2021,21
1/31/2021,86
2/1/2021,13
2/2/2021,13
2/3/2021,12
2/4/2021,58
2/5/2021,12
2/6/2021,13
2/7/2021,28
2/8/2021,38
2/9/2021,43
2/10/2021,14
2/11/2021,12
2/12/2021,36
2/13/2021,20
2/14/2021,13
2/15/2021,18
2/16/2021,15
2/17/2021,14
2/18/2021,13
2/19/2021,13
2/20/2021,20
2/21/2021,18
2/22/2021,47
2/23/2021,11
2/24/2021,16
2/25/2021,14
2/26/2021,13
2/27/2021,19
2/28/2021,20
3/1/2021,15
3/2/2021,17
3/3/2021,14
3/4/2021,13
3/5/2021,18
3/6/2021,21
3/7/2021,16
3/8/2021,16
3/9/2021,36
3/10/2021,13
3/11/2021,10
3/12/2021,18
3/13/2021,26
3/14/2021,15
3/15/2021,13
3/16/2021,19
3/17/2021,17
3/18/2021,12
3/19/2021,18
3/20/2021,12
3/21/2021,15
3/22/2021,18
3/23/2021,9
3/24/2021,11
3/25/2021,11
3/26/2021,12
3/27/2021,8
3/28/2021,16
3/29/2021,18
3/30/2021,13
3/31/2021,14
4/1/2021,9
4/2/2021,15
4/3/2021,10
4/4/2021,12
4/5/2021,15
4/6/2021,21
4/7/2021,32
4/8/2021,18
4/9/2021,15
4/10/2021,15
4/11/2021,14
4/12/2021,42
4/13/2021,11
4/14/2021,17
4/15/2021,11
4/16/2021,11
4/17/2021,17
4/18/2021,6
4/19/2021,12
4/20/2021,10
4/21/2021,10
4/22/2021,7
4/23/2021,9
4/24/2021,11
4/25/2021,12
4/26/2021,14
4/27/2021,11
4/28/2021,13
4/29/2021,11
4/30/2021,79
5/1/2021,12
5/2/2021,18
5/3/2021,12
5/4/2021,11
5/5/2021,14
5/6/2021,22
5/7/2021,13
5/8/2021,17
5/9/2021,11
5/10/2021,18
5/11/2021,16
5/12/2021,39
5/13/2021,25
5/14/2021,61
5/15/2021,11
5/16/2021,9
5/17/2021,26
5/18/2021,21
5/19/2021,26
5/20/2021,27
5/21/2021,13
5/22/2021,17
5/23/2021,13
5/24/2021,25
5/25/2021,34
5/26/2021,98
5/27/2021,12
5/28/2021,13
5/29/2021,13
5/30/2021,15
5/31/2021,14
6/1/2021,7
6/2/2021,25
6/3/2021,15
6/4/2021,26
6/5/2021,69
6/6/2021,20
6/7/2021,22
6/8/2021,24
6/9/2021,34
6/10/2021,22
6/11/2021,15
6/12/2021,16
6/13/2021,17
6/14/2021,49
6/15/2021,14
6/16/2021,22
6/17/2021,22
6/18/2021,8
6/19/2021,11
6/20/2021,25
6/21/2021,25
6/22/2021,18
6/23/2021,28
6/24/2021,25
6/25/2021,53
6/26/2021,13
6/27/2021,16
6/28/2021,63
6/29/2021,45
6/30/2021,36
7/1/2021,18
7/2/2021,68
7/3/2021,12
